iter	Logloss
0	0.4730823047
1	0.3948516648
2	0.3644656078
3	0.3454047467
4	0.3362932437
5	0.3316165502
6	0.3280800632
7	0.325307944
8	0.3210993669
9	0.3174466084
10	0.3148154864
11	0.3137405092
12	0.3104391434
13	0.3019060687
14	0.299692259
15	0.2983151363
16	0.2916073087
17	0.2876132613
18	0.2857636075
19	0.2837155989
20	0.2828125251
21	0.2808397429
22	0.2772808811
23	0.2762730431
24	0.2734461322
25	0.2718207732
26	0.2686734836
27	0.2664727772
28	0.2651637023
29	0.2634124199
30	0.2613634148
31	0.2586434928
32	0.2568946246
33	0.2548821047
34	0.2544688551
35	0.2534691365
36	0.2516192457
37	0.2503617381
38	0.2487671677
39	0.24800184
40	0.2475469489
41	0.2455930462
42	0.2442995692
43	0.2423887406
44	0.240901648
45	0.2396878159
46	0.2388500331
47	0.2370393948
48	0.2362309886
49	0.2348865696
