iter	Passed	Remaining
0	18	921
1	30	722
2	42	658
3	52	609
4	64	581
5	75	551
6	86	528
7	97	510
8	108	494
9	119	477
10	130	461
11	140	445
12	151	430
13	163	420
14	174	406
15	189	402
16	207	403
17	224	399
18	236	385
19	247	371
20	258	357
21	269	343
22	280	329
23	291	315
24	302	302
25	313	289
26	324	276
27	336	264
28	347	251
29	360	240
30	376	230
31	398	224
32	409	211
33	421	198
34	432	185
35	443	172
36	454	159
37	466	147
38	477	134
39	488	122
40	499	109
41	511	97
42	522	85
43	537	73
44	552	61
45	571	49
46	584	37
47	595	24
48	609	12
49	624	0
